iter	RMSE
0	9.588705328
1	9.36650505
2	9.134121288
3	8.903832164
4	8.675392774
5	8.463654666
6	8.25045208
7	8.058657007
8	7.865708879
9	7.678878242
10	7.497229375
11	7.322020155
12	7.14924749
13	6.98743689
14	6.817318815
15	6.661315238
16	6.525090705
17	6.386776244
18	6.253702152
19	6.121883221
20	5.983705368
21	5.867177069
22	5.754316697
23	5.631960643
24	5.528246395
25	5.431822801
26	5.320660273
27	5.217189527
28	5.115461317
29	5.019411623
30	4.924240816
31	4.833144805
32	4.760763451
33	4.685758987
34	4.612394463
35	4.543593222
36	4.463523671
37	4.39806432
38	4.330738226
39	4.261269505
40	4.201674423
41	4.147100998
42	4.091449553
43	4.038184808
44	3.984914526
45	3.940776142
46	3.894483941
47	3.844914803
48	3.799719568
49	3.759496588
50	3.726428991
51	3.682779058
52	3.643344573
53	3.599092765
54	3.558661252
55	3.524110438
56	3.494170948
57	3.458807041
58	3.424524889
59	3.391173638
60	3.367821439
61	3.340525367
62	3.321461424
63	3.296841045
64	3.272535744
65	3.2490592166	3.281383143
67	3.259704293
68	3.233696347
69	3.207129824
70	3.190163163
71	3.169063684
72	3.155750271
73	3.135069904
74	3.116254825
75	3.10006288
76	3.080627269
77	3.063321359
78	3.048978209
79	3.03249326
80	3.015796347
81	3.0063895
82	2.996079747
83	2.977508373
84	2.963198501
85	2.94986	2.911579807
87	2.898896847
88	2.890814669
89	2.88021656
90	2.868363808
91	2.859705208
92	2.849490796
93	2.84290848
94	2.833622646
95	2.823095293
96	2.813422313
97	2.806311489
98	2.799749687
99	2.790315121
100	2.779228186
101	2.7101	2.799473305
102	2.793511694
103	2.78468097
104	2.777685206
105	2.769011369
106	2.75913541
107	2.75472108	2.712563958
109	2.706290279
110	2.695773649
111	2.687899268
112	2.681771153
113	2.676896619
114	2.673471356
115	2.668396968
116	2.6618675
117	2.657419831
118	2.65281602
119	2.646431696
120	2.641743834
121	2.6370672
122	2.631315047
123	2.625520453
124	2.621334586
125	2.617744322
126	2.610218051
127	2.603400315
128	2.599996214
129	2.595386051
130	2.589202484
131	2.583694915
132	2.579545787
133	2.574336844
134	2.571111003
135	2.563662258
136	2.558371561
137	2.553532498
138	2.54825991
139	2.543512745
140	2.541316419
141	2.535037131
142	2.525570128
143	2.518370729
144	2.512948954
145	2.50739923
146	2.501313101
147	2.498856631
148	2.494012585
149	2.488864751
150	2.486002259
151	2.481887232
152	2.474983153
153	2.471442306
154	2.467775307
155	2.462636664
156	2.458107653
157	2.455696639
158	2.452072893
159	2.4471556
160	2.443415365
161	2.439588036
162	2.436049791
163	2.432215222
164	2.428036419
165	2.423005466
166	2.418264622
167	2.412363488
168	2168	2.454205376
169	2.450182267
170	2.447585946
171	2.444076965
172	2.440133819
173	2.435698715
174	2.430950263
175	2.428383705
176	2.425467542
177	2.421592602
178	2.414677506
179	2.409168595
180	2.405624684
181	2.402905144
182	2.399184514
183	2.394631837
184	2.393452149
185	2.390627563
186	2.387428393
187	2.383944313
188	2.381819529
189	2.37879190	2190	2.37446191	2191	2.370832368
192	2.365790451
193	2.359707171
194	2.354132222
195	2.351269741
196	2.345608164
197	2.342073849
198	2.334895997
199	2.33341257
200	2.330898601
201	2.326663791
202	2.323830009
203	2.319343709
204	2.314740435
205	2.311391956
206	2.308380009
207	2.305847874
208	2.302929632
209	2.298277898
210	2.294952539
211	2.290630912
212	2.288818381
213	2.28557051
214	2.283680722
215	2.280749172
216	2.275271365
217	2.272449122
218	2.268949634
219	2.263277345
220	2.259747131
221	2.253033792
222	2.250687786
223	2.247941529
224	2.241534547
225	2.235194093
226	2.22919955
227	2.227750599
228	2.223755514
229	2.220893067
230	2.218262065
231	2.216810529
232	2.212926055
233	2.209950297
234	2.206942206
235	2.202136785
236	2.199004763
237	2.19663362
238	2.19518677
239	2.193589189
240	2.192473822
241	2.1883284
242	2.185416224
243	2.18287968
244	2.180509974
245	2.174259633
246	2.170587456
247	2.165909486
248	2.164330769
249	2.159933574
250	2.157199555
251	2.151128472
252	2.148474636
253	2.147480477
254	2.145366696
255	2.144227609
256	2.14188341
257	2.139821789
258	2.13838025
259	2.135819145
260	2.133841444
261	2.132883213
262	2.131654045
263	2.129943456
264	2.125392432
265	2.118874188
266	2.112690824
267	2.109984963
268	2.103919019
269	2.102465627
270	2.101742612
271	2.096764631
272	2.095417204
273	2.093356345
274	2.087458061
275	2.086343474
276	2.084997807
277	2.083843807
278	2.08294887
279	2.077044226
280	2.070714452
281	2.068492013
282	2.063517283
283	2.06247878
284	2.060820819
285	2.056412352
286	2.050734112
287	2.048807652
288	2.04741862
289	2.044998047
290	2.042363436
291	2.040200054
292	2.034611263
293	2.033160292
294	2.031035084
295	2.028408645
296	2.022512799
297	2.021481327
298	2.020709354
299	2.019540451
300	2.018587928
301	2.012284184
302	2.010214101
303	2.003784346
304	2.002965744
305	2.001721613
306	2.000390849
307	1.995578469
308	1.994239233
309	1.990922997
310	1.990219206
311	1.989560106
312	1.983834595
313	1.977978464
314	1.975792842
315	1.974842043
316	1.969642011
317	1.964045024
318	1.963160597
319	1.961485574
320	1.957082637
321	1.956179565
322	1.952587217
323	1.947277611
324	1.944613719
325	1.942280377
326	1.938696563
327	1.93685901
328	1.93281922
329	1.931373687
330	1.929576137
331	1.92907823
332	1.92826858
333	1.924583421
334	1.922820594
335	1.922189034
336	1.916590221
337	1.913572282
338	1.911325678
339	1.910573061
340	1.905054783
341	1.899683616
342	1.894588441
343	1.889492023
344	1.888711698
345	1.885248551
346	1.88030371
347	1.878153609
348	1.875415822
349	1.870051962
350	1.866094478
351	1.861861734
352	1.86072954
353	1.86050754
354	1.858839387
355	1.856609818
356	1.856012389
357	1.855314929
358	1.850584534
359	1.850002147
360	1.847353292
361	1.843214225
362	1.838929116
363	1.838192421
364	1.83735413
365	1.835837441
366	1.832266512
367	1.83175603
368	1.82996734
369	1.825226862
370	1.819068005
371	1.815184622
372	1.814847501
373	1.813459834
374	1.808633496
375	1.807394052
376	1.806016335
377	1.801484584
378	1.800503492
379	1.795204862
380	1.793149035
381	1.789932925
382	1.786045684
383	1.785191176
384	1.784180246
385	1.780396178
386	1.779676356
387	1.778944892
388	1.775723622
389	1.771591674
390	1.770209083
391	1.769624716
392	1.764020793
393	1.76256924
394	1.759410772
395	1.758257901
396	1.754884585
397	1.754034311
398	1.749525405
399	1.747635742
400	1.743140689
401	1.742089231
402	1.741655297
403	1.737178504
404	1.731692117
405	1.727059323
406	1.72562475
407	1.725302543
408	1.724618514
409	1.723622886
410	1.717992226
411	1.712737834
412	1.708902861
413	1.704521626
414	1.700106622
415	1.698252448
416	1.69598479
417	1.695166718
418	1.690312772
419	1.687975727
420	1.687460301
421	1.686452278
422	1.685820468
423	1.681890835
424	1.681430574
425	1.677242215
426	1.674503635
427	1.67370554
428	1.66963924
429	1.669244388
430	1.663901443
431	1.663454211
432	1.663076049
433	1.658481788
434	1.657367436
435	1.656333286
436	1.652371697
437	1.648148519
438	1.644521684
439	1.644070869
440	1.640210239
441	1.636477663
442	1.633787937
443	1.632588519
444	1.629028488
445	1.62524031
446	1.62159607
447	1.619883876
448	1.618766895
449	1.613835776
450	1.612502473
451	1.61207423
452	1.610722138
453	1.609772206
454	1.604139566
455	1.599874944
456	1.599436057
457	1.596134164
458	1.595592814
459	1.594783834
460	1.591941721
461	1.591670923
462	1.589193043
463	1.588394191
464	1.584575433
465	1.584070702
466	1.581287657
467	1.580786344
468	1.579684214
469	1.578810597
470	1.577252718
471	1.576620073
472	1.573693232
473	1.569053373
474	1.568426974
475	1.563059557
476	1.559032567
477	1.555581439
478	1.55444275
479	1.553605137
480	1.550008224
481	1.549448889
482	1.548314715
483	1.546328651
484	1.542345274
485	1.541952614
486	1.5415669
487	1.537818185
488	1.532697784
489	1.531596645
490	1.52786204
491	1.527214727
492	1.523305783
493	1.522504131
494	1.519317889
495	1.515483986
496	1.514754936
497	1.51086465
498	1.510417879
499	1.510047782
500	1.508438336
501	1.505933849
502	1.505317221
503	1.504956191
504	1.501828172
505	1.49860413
506	1.494797052
507	1.492863878
508	1.491772755
509	1.488465738
510	1.485210833
511	1.484772574
512	1.481629527
513	1.477324051
514	1.474094635
515	1.472709169
516	1.469515074
517	1.466574914
518	1.466141724
519	1.46170249
520	1.459009852
521	1.454468741
522	1.451388938
523	1.451001111
524	1.45055465
525	1.446711794
526	1.443578175
527	1.443229033
528	1.439729406
529	1.436866558
530	1.433616486
531	1.4320502
532	1.428748013
533	1.424767977
534	1.421275266
535	1.420429184
536	1.418895884
537	1.415590968
538	1.411983178
539	1.410775956
540	1.410448508
541	1.407620562
542	1.404984905
543	1.401868696
544	1.401440756
545	1.40081174
546	1.400415831
547	1.396853572
548	1.393633241
549	1.390243704
550	1.387261868
551	1.384222482
552	1.383994353
553	1.380814191
554	1.377270304
555	1.373581678
556	1.373348196
557	1.37256731
558	1.370457613
559	1.37003829
560	1.36704347
561	1.366661015
562	1.363574887
563	1.362964183
564	1.361994106
565	1.359266373
566	1.355567205
567	1.355129141
568	1.352421601
569	1.352052587
570	1.351726858
571	1.350936249
572	1.347844447
573	1.34689281
574	1.343715139
575	1.343005694
576	1.340427168
577	1.336299753
578	1.335607963
579	1.333013239
580	1.33259976
581	1.330102981
582	1.32751407
583	1.325844302
584	1.323141922
585	1.322458367
586	1.319381161
587	1.319037895
588	1.318682709
589	1.316108259
590	1.31538808
591	1.31470367
592	1.314118103
593	1.313731732
594	1.313176695
595	1.309679697
596	1.307581905
597	1.307261247
598	1.304093004
599	1.303098991
600	1.300965085
601	1.296114118
602	1.295634887
603	1.292240589
604	1.291672471
605	1.290915805
606	1.290602347
607	1.2881835
608	1.285670326
609	1.282897497
610	1.281248415
611	1.280152008
612	1.279806269
613	1.278766996
614	1.27518279
615	1.274375747
616	1.272262334
617	1.271172784
618	1.26995483
619	1.269007664
620	1.266811916
621	1.26364729
622	1.2614571
623	1.261278829
624	1.26083228
625	1.257562189
626	1.254236096
627	1.253834132
628	1.25309965
629	1.252830211
630	1.249717549
631	1.249395335
632	1.249082948
633	1.248610856
634	1.247389562
635	1.245388971
636	1.242891244
637	1.242660466
638	1.242146336
639	1.239821494
640	1.237283559
641	1.236241542
642	1.232601386
643	1.230232638
644	1.227599479
645	1.225961498
646	1.224906495
647	1.223718917
648	1.223069613
649	1.222330675
650	1.219381883
651	1.216156192
652	1.213924714
653	1.21040321
654	1.209328201
655	1.208670366
656	1.205798661
657	1.203439968
658	1.202768736
659	1.199726267
660	1.199222732
661	1.197080782
662	1.194357163
663	1.193538743
664	1.193241156
665	1.189186007
666	1.188875332
667	1.188308955
668	1.187663407
669	1.186947667
670	1.186472798
671	1.186336868
672	1.185801474
673	1.184151077
674	1.181562996
675	1.179692508
676	1.179041135
677	1.177025446
678	1.176488279
679	1.173612989
680	1.173056904
681	1.172778096
682	1.172340522
683	1.170024462
684	1.16947017
685	1.169201963
686	1.169005917
687	1.166136266
688	1.164161288
689	1.162523076
690	1.159678969
691	1.159094728
692	1.158272475
693	1.155820605
694	1.155694719
695	1.153026255
696	1.150696717
697	1.147892318
698	1.146211654
699	1.145960088
700	1.145771848
701	1.143437954
702	1.141389199
703	1.139235075
704	1.13815653
705	1.137388601
706	1.135125206
707	1.133312082
708	1.132746505
709	1.131021606
710	1.129057238
711	1.128801044
712	1.12689335
713	1.124643339
714	1.123803769
715	1.121803514
716	1.119541922
717	1.117712491
718	1.11747044
719	1.117001454
720	1.116686394
721	1.114761545
722	1.114105805
723	1.111287902
724	1.10894629
725	1.106980103
726	1.106540265
727	1.105942349
728	1.103630183
729	1.100673227
730	1.100224035
731	1.099378758
732	1.097568793
733	1.095310113
734	1.092603515
735	1.090623535
736	1.088577034
737	1.088121469
738	1.08526812
739	1.083641446
740	1.081552228
741	1.08110129
742	1.079942622
743	1.079476266
744	1.079351675
745	1.079145055
746	1.077370556
747	1.075342374
748	1.075131471
749	1.074613962
750	1.073334636
751	1.072820227
752	1.072075018
753	1.071923528
754	1.071483497
755	1.070599884
756	1.068303387
757	1.067892251
758	1.067673694
759	1.065921696
760	1.063819269
761	1.063524402
762	1.063429817
763	1.06299847
764	1.062581216
765	1.061186528
766	1.059104861
767	1.058468507
768	1.056420418
769	1.055596096
770	1.055310276
771	1.054945281
772	1.05286392
773	1.050946671
774	1.049268642
775	1.04721232
776	1.047053066
777	1.045859092
778	1.043932951
779	1.04373203
780	1.042329175
781	1.040982833
782	1.040237998
783	1.038032073
784	1.037336197
785	1.037035626
786	1.03682274
787	1.036352531
788	1.034741347
789	1.033555389
790	1.031037556
791	1.030214686
792	1.029995799
793	1.028004704
794	1.02612141
795	1.02599085
796	1.023655208
797	1.021212742
798	1.020559013
799	1.020408478
800	1.018450684
801	1.016821628
802	1.016718552
803	1.015157389
804	1.015040673
805	1.014831825
806	1.01398343
807	1.011468443
808	1.01095284
809	1.009726178
810	1.00896945
811	1.008500061
812	1.008358845
813	1.006288295
814	1.005397725
815	1.005180067
816	1.003635674
817	1.003016351
818	1.000825761
819	0.9992698132
820	0.9971523053
821	0.9956653943
822	0.995287814
823	0.9940212748
824	0.9935908481
825	0.99350672
826	0.9931780039
827	0.9928294922
828	0.9917580258
829	0.9902055462
830	0.9884650904
831	0.9869857516
832	0.9866764431
833	0.9866124629
834	0.9864645659
835	0.9847631171
836	0.9834884226
837	0.9820473179
838	0.9818282287
839	0.9817493667
840	0.9801546375
841	0.9800730438
842	0.9782754067
843	0.9778131875
844	0.9764586194
845	0.974400195
846	0.9729953802
847	0.9706148147
848	0.9696780237
849	0.9671316346
850	0.9668983009
851	0.9663763085
852	0.9662376129
853	0.9646735982
854	0.9626566687
855	0.9611583814
856	0.9595546412
