iter	Passed	Remaining
0	75	75796
1	76	38092
2	86	28878
3	107	26772
4	138	27494
5	138	23003
6	139	19858
7	141	17501
8	142	15665
9	143	14189
10	144	12988
11	145	11988
12	146	11141
13	147	10412
14	158	10425
15	159	9831
16	160	9309
17	162	8845
18	163	8428
19	164	8052
20	165	7713
21	166	7404
22	167	7121
23	168	6852
24	189	7382
25	190	7119
26	191	6885
27	192	6673
28	193	6475
29	194	6290
30	195	6117
31	196	5958
32	198	5805
33	199	5658
34	200	5518
35	211	5652
36	212	5523
37	213	5400
38	214	5283
39	215	5173
40	216	5067
41	217	4967
42	218	4871
43	220	4780
44	232	4923
45	233	4838
46	234	4753
47	235	4671
48	236	4592
49	237	4517
50	238	4444
51	239	4374
52	240	4304
53	242	4239
54	243	4183
55	244	4126
56	246	4071
57	247	4017
58	248	3963
59	249	3911
60	250	3855
61	251	3798
62	252	3752
63	253	3709
64	255	366	295	4113
67	297	4073
68	298	4028
69	299	3984
70	301	3942
71	302	3900
72	303	3859
73	314	3939
74	316	3899
75	317	3861
76	318	3823
77	320	3786
78	321	3749
79	322	3714
80	324	3680
81	365	4091
82	376	4164
83	378	4125
84	379	4087
85	380	4049
86	86	401	4210
87	402	4169
88	403	4132
89	405	4096
90	406	4060
91	408	4027
92	409	3994
93	411	3961
94	411	3923
95	413	3892
96	414	3861
97	416	3832
98	417	3802
99	419	3774
100	420	37101	428	3771
102	429	3737
103	430	3704
104	431	3676
105	432	3648
106	433	3621
107	435	3595
108108	441	3606
109	442	3576
110	453	3632
111	455	3608
112	456	3584
113	458	3560
114	459	3536
115	460	3512
116	462	3488
117	463	3461
118	464	3436
119	465	3414
120	467	3393
121	468	3375
122	470	3353
123	471	3331
124	482	3376
125	493	3426
126	495	3405
127	496	3385
128	498	3367
129	500	3347
130	502	3330
131	503	3310
132	504	3290
133	506	3271
134	507	3252
135	509	3234
136	510	3216
137	511	3195
138	513	3177
139	514	3159
140	515	3141
141	516	3123
142	518	3107
143	519	3089
144	521	3072
145	572	3350
146	574	3335
147	576	3317
148	577	3299
149	579	3282
150	580	3265
151	582	3248
152	583	3230
153	585	3215
154	586	3197
155	587	3180
156	589	3163
157	590	3147
158	591	3130
159	593	3116
160	595	3101
161	596	3086
162	597	3070
163	599	3055
164	601	3041
165	602	3025
166	603	3009
167	605	29168	623	3064
169	624	3049
170	625	3034
171	627	3019
172	628	3004
173	629	2990
174	631	2975
175	631	2958
176	632	2942
177	634	2928
178	635	2915
179	636	2901
180	638	2887
181	639	2874
182	640	2861
183	642	2849
184	643	2836
185	645	2823
186	646	2810
187	647	2797
188	649	2785
189	650	2773
190	651	2759
191	733	3087
192	734	3072
193	736	3060
194	737	3046
195	739	3032
196	740	3018
197	741	3004
198	743	2991
199	754	3016
200	755	3001
201	756	2988
202	757	2974
203	759	2962
204	760	2949
205	761	2935
206	763	2923
207	763	2908
208	764	2894
209	766	2882
210	767	2870
211	768	2857
212	769	2844
213	771	2833
214	772	2821
215	773	2809
216	784	2832
217	785	2818
218	806	2877
219	807	2863
220	809	2852
221	810	2841
222	812	2829
223	813	2818
224	814	2807
225	836	2863
226	837	2850
227	838	2838
228	839	2827
229	841	2816
230	842	2804
231	843	2793
232	845	2782
233	846	2770
234	877	2855
235	878	2844
236	879	2832
237	881	2821
238	882	2809
239	883	2798
240	885	2787
241	886	2776
242	887	2765
243	889	2754
244	890	2744
245	891	2733
246	893	2722
247	894	2712
248	896	2702
249	896	2690
250	897	2679
251	899	2669
252	900	2659
253	901	2648
254	903	2638
255	904	2627
256	905	2618
257	906	2607
258	917	2624
259	918	2613
260	919	2603
261	920	2594
262	922	2584
263	923	2575
264	925	2566
265	926	2556
266	927	2546
267	928	2535
268	929	2526
269	931	2517
270	932	2508
271	933	2499
272	934	2489
273	936	2480
274	937	2470
275	937	2460
276	938	2450
277	940	2442
278	941	2433
279	942	2424
280	944	2416
281	945	2408
282	956	2424
283	958	2416
284	959	2407
285	960	2399
286	962	2390
287	963	2382
288	965	2374
289	966	2366
290	977	2381
291	988	2396
292	989	2388
293	991	2380
294	992	2372
295	993	2364
296	995	2355
297	996	2347
298	997	2339
299	1008	2353
300	1010	2345
301	1011	2337
302	1012	2330
303	1014	2322
304	1015	2314
305	1017	2306
306	1018	2297
307	1028	2311
308	1030	2303
309	1031	2296
310	1032	2288
311	1034	2280
312	1035	2272
313	1037	2265
314	1038	2257
315	1039	2249
316	1039	2240
317	1041	2233
318	1042	2226
319	1044	2218
320	1045	2211
321	1046	2203
322	1067	2237
323	1068	2229
324	1069	2221
325	1071	2214
326	1072	2207
327	1073	2199
328	1075	2192
329	1076	2185
330	1076	2176
331	1078	2169
332	1079	2161
333	1080	2154
334	1082	2148
335	1083	2141
336	1085	2134
337	1086	2127
338	1087	2119
339	1088	2112
340	1089	2105
341	1090	2098
342	1092	2091
343	1093	2085
344	1094	2078
345	1096	2071
346	1097	2065
347	1098	2058
348	1100	2052
349	1101	2045
350	1102	2039
351	1104	2032
352	1105	2026
353	1116	2037
354	1127	2048
355	1128	2041
356	1129	2034
357	1130	2028
358	1132	2021
359	1133	2015
360	1134	2008
361	1136	2002
362	1147	2013
363	1158	2023
364	1159	2017
365	1160	2011
366	1162	2004
367	1163	1998
368	1165	1992
369	1166	1985
370	1177	1996
371	1178	1988
372	1179	1982
373	1180	1975
374	1181	1969
375	1183	1963
376	1184	1957
377	1185	1951
378	1187	1944
379	1187	1938
380	1188	1931
381	1189	1924
382	1191	1919
383	1192	1913
384	1194	1907
385	1195	1901
386	1196	1895
387	1197	1889
388	1198	1882
389	1199	1876
390	1200	1870
391	1202	1864
392	1203	1859
393	1204	1853
394	1206	1847
395	1217	1856
396	1218	1851
397	1220	1845
398	1221	1840
399	1223	1834
400	1224	1829
401	1225	1823
402	1226	1817
403	1227	1810
404	1228	1804
405	1229	1798
406	1231	1793
407	1232	1788
408	1233	1782
409	1235	1777
410	1236	1772
411	1237	1765
412	1248	1774
413	1249	1768
414	1250	1763
415	1252	1758
416	1253	1752
417	1255	1747
418	1256	1742
419	1267	1750
420	1268	1744
421	1269	1739
422	1271	1734
423	1272	1729
424	1274	1724
425	1275	1718
426	1276	1713
427	1288	1722
428	1290	1717
429	1291	1712
430	1293	1707
431	1295	1702
432	1296	1697
433	1317	1718
434	1318	1712
435	1320	1707
436	1321	1702
437	1323	1698
438	1325	1693
439	1326	1688
440	1327	1683
441	1329	1678
442	1330	1673
443	1331	1667
444	1332	1662
445	1334	1657
446	1335	1652
447	1336	1647
448	1337	1641
449	1338	1635
450	1339	1630
451	1340	1625
452	1342	1620
453	1343	1615
454	1344	1610
455	1345	1605
456	1346	1600
457	1377	1630
458	1398	1648
459	1399	1643
460	1401	1638
461	1402	1633
462	1403	1628
463	1404	1622
464	1406	1617
465	1407	1612
466	1418	1619
467	1439	1636
468	1440	1630
469	1441	1625
470	1442	1620
471	1444	1615
472	1445	1610
473	1446	1605
474	1448	1600
475	1449	1595
476	1450	1590
477	1451	1585
478	1453	1580
479	1454	1575
480	1455	1570
481	1456	1565
482	1458	1560
483	1459	1555
484	1469	1560
485	1471	1555
486	1472	1551
487	1474	1546
488	1475	1541
489	1476	1536
490	1477	1532
491	1479	1527
492	1479	1522
493	1481	1517
494	1482	1512
495	1483	1507
496	1485	1503
497	1486	1498
498	1487	1493
499	1488	1488
500	1499	1493
501	1500	1488
502	1521	1503
503	1522	1498
504	1524	1494
505	1525	1489
506	1526	1484
507	1528	1480
508	1529	1475
509	1530	1470
510	1532	1466
511	1533	1461
512	1535	1457
513	1536	1452
514	1537	1447
515	1538	1443
516	1540	1438
517	1551	1443
518	1552	1438
519	1553	1434
520	1555	1429
521	1556	1425
522	1557	1420
523	1558	1416
524	1560	1411
525	1570	1415
526	1572	1411
527	1573	1406
528	1574	1402
529	1576	1397
530	1577	1393
531	1578	1388
532	1579	1384
533	1590	1388
534	1591	1383
535	1592	1378
536	1593	1373
537	1594	1369
538	1595	1364
539	1597	1360
540	1598	1356
541	1599	1351
542	1601	1347
543	1612	1351
544	1614	1347
545	1615	1343
546	1616	1338
547	1618	1334
548	1619	1330
549	1620	1325
550	1621	1321
551	1622	1316
552	1623	1312
553	1625	1308
554	1626	1304
555	1627	1299
556	1628	1295
557	1629	1291
558	1640	1294
559	1641	1290
560	1643	1285
561	1644	1281
562	1645	1277
563	1646	1273
564	1647	1268
565	1648	1263
566	1648	1259
567	1649	1254
568	1650	1250
569	1652	1246
570	1653	1242
571	1654	1238
572	1656	1234
573	1657	1230
574	1658	1225
575	1659	1221
576	1670	1224
577	1691	1234
578	1692	1230
579	1702	1233
580	1704	1229
581	1706	1225
582	1707	1221
583	1708	1217
584	1710	1213
585	1711	1208
586	1712	1204
587	1713	1200
588	1715	1196
589	1716	1192
590	1717	1188
591	1719	1184
592	1720	1180
593	1721	1176
594	1732	1179
595	1734	1175
596	1735	1171
597	1736	1167
598	1738	1163
599	1739	1159
600	1740	1155
601	1741	1151
602	1753	1154
603	1754	1150
604	1755	1146
605	1757	1142
606	1758	1138
607	1759	1134
608	1761	1130
609	1762	1126
610	1763	1122
611	1764	1118
612	1766	1115
613	1767	1111
614	1768	1107
615	1769	1103
616	1771	1099
617	1772	1095
618	1773	1091
619	1774	1087
620	1776	1084
621	1777	1080
622	1779	1076
623	1780	1072
624	1781	1069
625	1783	1065
626	1784	1061
627	1785	1057
628	1786	1053
629	1788	1050
630	1789	1046
631	1790	1042
632	1791	1038
633	1792	1035
634	1794	1031
635	1795	1027
636	1797	1024
637	1798	1020
638	1799	1016
639	1800	1013
640	1801	1009
641	1812	1010
642	1813	1007
643	1815	1003
644	1816	999
645	1818	996
646	1819	992
647	1820	989
648	1822	985
649	1822	981
650	1824	978
651	1825	974
652	1827	970
653	1828	967
654	1829	963
655	1831	960
656	1831	956
657	1943	1010
658	1943	1005
659	1954	1006
660	1955	1003
661	1957	999
662	1958	995
663	1960	991
664	1961	988
665	1962	984
666	1964	980
667	1964	976
668	1966	972
669	1967	969
670	1968	965
671	1970	961
672	1971	957
673	1972	954
674	1973	950
675	1974	946
676	1975	942
677	1977	939
678	1978	935
679	1979	931
